antecedents,consequents,as,cs,confidence,support,kluc,imb ratio
"frozenset({'FROM BUILDING', 'AM', 'Mi'})",frozenset({'THEFT'}),0.0015519876158532956,0.24125667334828427,1.0,0.0015519876158532956,0.5032164656718382,0.9887410790879083
"frozenset({'FROM BUILDING', 'OTHER'})",frozenset({'THEFT'}),0.003477087343957767,0.24125667334828427,1.0,0.003477087343957767,0.5072061993057041,0.9749264769008028
"frozenset({'FROM BUILDING', 'OTHER'})",frozenset({'PM'}),0.003477087343957767,0.6291384682557009,0.687214611872146,0.002389505229523488,0.34550633560131383,0.9924390963175305
"frozenset({'FROM BUILDING', 'AM', 'OTHER'})",frozenset({'THEFT'}),0.0010875821144342786,0.24125667334828427,1.0,0.0010875821144342786,0.5022539938467613,0.9920986326084974
"frozenset({'FROM BUILDING', 'OTHER', 'Di'})",frozenset({'THEFT'}),0.0005358525016373271,0.24125667334828427,1.0,0.0005358525016373271,0.5011105444135503,0.9961002468530997
"frozenset({'FROM BUILDING', 'PM', 'OTHER'})",frozenset({'THEFT'}),0.002389505229523488,0.24125667334828427,1.0,0.002389505229523488,0.5049522054589428,0.9827106115176071
"frozenset({'FROM BUILDING', 'OTHER', 'THEFT'})",frozenset({'PM'}),0.003477087343957767,0.6291384682557009,0.687214611872146,0.002389505229523488,0.34550633560131383,0.9924390963175305
"frozenset({'FROM BUILDING', 'OTHER'})","frozenset({'PM', 'THEFT'})",0.003477087343957767,0.16199416516164883,0.687214611872146,0.002389505229523488,0.3509825877159417,0.9612456192450076
"frozenset({'FROM BUILDING', 'Do', 'OTHER'})",frozenset({'THEFT'}),0.0006192073352253557,0.24125667334828427,1.0,0.0006192073352253557,0.5012832957667692,0.9954947976280578
"frozenset({'FROM BUILDING', 'Mo', 'OTHER'})",frozenset({'THEFT'}),0.0005556988905868577,0.24125667334828427,1.0,0.0005556988905868577,0.5011516756881262,0.9959560635336993
"frozenset({'FROM BUILDING', 'Sa', 'OTHER'})",frozenset({'THEFT'}),0.0005160061126877964,0.24125667334828427,1.0,0.0005160061126877964,0.5010694131389744,0.9962444481420771
"frozenset({'FROM BUILDING', 'Mo'})",frozenset({'THEFT'}),0.005322801516264116,0.24125667334828427,1.0,0.005322801516264116,0.5110314078412662,0.961836035458269
"frozenset({'FROM BUILDING', 'Mo'})",frozenset({'PM'}),0.005322801516264116,0.6291384682557009,0.6659209545115585,0.003544565066386171,0.33577747641036404,0.9884381565114326
"frozenset({'FROM BUILDING', 'Mo', 'PM'})",frozenset({'THEFT'}),0.003544565066386171,0.24125667334828427,1.0,0.003544565066386171,0.5073460456392622,0.9744452547023867
"frozenset({'FROM BUILDING', 'Mo', 'THEFT'})",frozenset({'PM'}),0.005322801516264116,0.6291384682557009,0.6659209545115585,0.003544565066386171,0.33577747641036404,0.9884381565114326
"frozenset({'FROM BUILDING', 'Mo'})","frozenset({'PM', 'THEFT'})",0.005322801516264116,0.16199416516164883,0.6659209545115585,0.003544565066386171,0.34390088693920573,0.941225210126551
"frozenset({'FROM BUILDING', 'Mo', 'APARTMENT'})",frozenset({'THEFT'}),0.0007621013356619763,0.24125667334828427,1.0,0.0007621013356619763,0.501579440943716,0.9944576214259748
